"playerID","yearID","Batting_Games","Batting_At_Bats","Batting_Doubles","Batting_Triples","Batting_Homeruns","Batting_Runs_Batted_In","Batting_Stolen_Bases","Batting_Caught_Steading","Batting_Base_on_Balls","Batting_Strikeouts","Batting_Intentional_walks","Batting_Hit_by_pitch","Batting_Sacrifice_hits","Batting_Sacrifice_flies","Batting_Grounded_into_double_plays","Pitching_Wins","Pitching_Losses","Pitching_Games","Pitching_Games_Started","Pitching_Complete_Games","Pitching_Shutouts","Pitching_Saves","Pitching_Outs_Pitched","Pitching_Hits","inducted"
"minosmi01",1989,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1990,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1991,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1992,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1993,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1994,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1995,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1996,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1997,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1998,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
